AtliQ,,1 - Apr,2 - Apr,3 - Apr,4 - Apr,5 - Apr,6 - Apr,7 - Apr,8 - Apr,9 - Apr,10 - Apr,11 - Apr,12 - Apr,13 - Apr,14 - Apr,15 - Apr,16 - Apr,17 - Apr,18 - Apr,19 - Apr,20 - Apr,21 - Apr,22 - Apr,23 - Apr,24 - Apr,25 - Apr,26 - Apr,27 - Apr,28 - Apr,29 - Apr,30 - Apr,1 - May,Total Present Days,Present,Work from home ,Paid Leave ,Sick Leave ,Birthday Leave ,Floting festival leave ,Bereavement Leave,Leave without pay,Weekly Off,Holidays Off,Menstrual Leave
Atq -335,Madelynn Gray,P,WO,WO,P,P,P,PL,P,WO,WO,P,P,P,P,WFH,WO,WO,PL,PL,PL,PL,PL,WO,WO,P,P,P,P,P,WO,,15,14,1,6,0,0,0,0,0,9,0,0
Atq -343,Myla Klein,P,WO,WO,P,P,P,P,P,WO,WO,P,P,PL,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,20,20,0,1,0,0,0,0,0,9,0,0
Atq -334,Boston Morse,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,21,21,0,0,0,0,0,0,0,9,0,0
Atq -446,April Ayers,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,FFL,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,20,20,0,0,0,0,1,0,0,9,0,0
Atq -419,Faith Hamilton,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,PL,P,P,P,P,WO,,20,20,0,1,0,0,0,0,0,9,0,0
Atq -393,Janelle Raymond,HML,WO,WO,P,P,P,P,P,WO,WO,P,P,,,,WO,WO,,,,,,WO,WO,,,,,,WO,,8,8,0,0,0,0,0,0,0,9,0,0.5
Atq -396,Joel Cruz,WFH,WO,WO,WFH,WFH,WFH,WFH,WFH,WO,WO,HML,WFH,WFH,WFH,WFH,WO,WO,WFH,WFH,WFH,WFH,WFH,WO,WO,WFH,WFH,WFH,WFH,WFH,WO,,21,1,20,0,0,0,0,0,0,9,0,0.5
Atq -459,Iris Woodard,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,BL ,WO,,20,20,0,0,0,1,0,0,0,9,0,0
Atq -349,Trystan Ortega,P,WO,WO,P,P,P,P,HPL,WO,WO,P,P,P,P,P,WO,WO,P,P,ML,P,P,WO,WO,P,HPL,HPL,P,P,WO,,19.5,19.5,0,1.5,0,0,0,0,0,9,0,1
Atq -438,Miles Fields,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,21,21,0,0,0,0,0,0,0,9,0,0
Atq -423,Rodrigo Price,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,21,21,0,0,0,0,0,0,0,9,0,0
Atq -370,Ella Roth,P,WO,WO,P,P,HPL,P,P,WO,WO,P,P,P,P,P,WO,WO,P,SL,P,P,P,WO,WO,P,P,WFH,WFH,P,WO,,19.5,17.5,2,0.5,1,0,0,0,0,9,0,0
Atq -433,Jayce Fuentes,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,21,21,0,0,0,0,0,0,0,9,0,0
Atq -375,Hailee Fitzpatrick,P,WO,WO,P,ML,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,21,21,0,0,0,0,0,0,0,9,0,1
Atq -475,Rey Novak,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,21,21,0,0,0,0,0,0,0,9,0,0
Atq -368,Macie Callahan,P,WO,WO,P,P,P,P,P,WO,WO,P,HSL,P,WFH,WFH,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,20.5,18.5,2,0,0.5,0,0,0,0,9,0,0
Atq -468,Xiomara Ruiz,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,FFL,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,20,20,0,0,0,0,1,0,0,9,0,0
Atq -348,Weston Horton,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,PL,PL,WO,WO,P,P,P,P,P,WO,,19,19,0,2,0,0,0,0,0,9,0,0
Atq -435,Dean Mclaughlin,P,WO,WO,P,P,P,P,P,WO,WO,P,P,ML,P,P,WO,WO,P,P,PL,P,P,WO,WO,P,P,P,P,P,WO,,20,20,0,1,0,0,0,0,0,9,0,1
Atq -331,Jonah Hamilton,HPL,WO,WO,WFH,WFH,PL,P,P,WO,WO,P,P,SL,P,P,WO,WO,P,P,P,P,PL,WO,WO,P,P,P,P,P,WO,,17.5,15.5,2,2.5,1,0,0,0,0,9,0,0
Atq -426,Roman Colon,HPL,WO,WO,P,P,P,HLWP,WFH,WO,WO,P,,,,,WO,WO,,,,,,WO,WO,,,,,,WO,,6,5,1,0.5,0,0,0,0,0.5,9,0,0
Atq -405,Chris Frye,WFH,WO,WO,P,WFH,P,WFH,P,WO,WO,P,P,P,WFH,FFL,WO,WO,P,P,P,WFH,WFH,WO,WO,P,P,P,WFH,WFH,WO,,20,12,8,0,0,0,1,0,0,9,0,0
Atq -475,London Kim,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,FFL,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,20,20,0,0,0,0,1,0,0,9,0,0
Atq -375,Kenley Marsh,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,PL,HPL,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,19.5,19.5,0,1.5,0,0,0,0,0,9,0,0
Atq -456,Adriel Pace,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,21,21,0,0,0,0,0,0,0,9,0,0
Atq -385,Jase Ingram,P,WO,WO,HPL,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,PL,P,WO,,19.5,19.5,0,1.5,0,0,0,0,0,9,0,0
Atq -484,Adyson Moyer,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,WFH,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,21,20,1,0,0,0,0,0,0,9,0,0
Atq -398,Salvatore Hendrix,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,SL,P,WO,WO,P,P,P,P,PL,WO,,19,19,0,1,1,0,0,0,0,9,0,0
Atq -412,Tucker Austin,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,FFL,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,20,20,0,0,0,0,1,0,0,9,0,0
Atq -472,Cristofer Bernard,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,21,21,0,0,0,0,0,0,0,9,0,0
Atq -396,Karma Reeves,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,FFL,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,20,20,0,0,0,0,1,0,0,9,0,0
Atq -467,Esperanza Irwin,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,21,21,0,0,0,0,0,0,0,9,0,0
Atq -428,Ciara Allison,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,,,,,WO,,17,17,0,0,0,0,0,0,0,9,0,0
Atq -484,Demarcus Gordon,P,WO,WO,P,P,P,P,P,WO,WO,PL,PL,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,19,19,0,2,0,0,0,0,0,9,0,0
Atq -432,Ryann Guerrero,P,WO,WO,P,P,P,PL,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,20,20,0,1,0,0,0,0,0,9,0,0
Atq -421,Rylee Mullins,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,PL,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,20,20,0,1,0,0,0,0,0,9,0,0
Atq -485,Gregory Carr,WFH,WO,WO,WFH,WFH,WFH,WFH,WFH,WO,WO,WFH,WFH,WFH,WFH,WFH,WO,WO,LWP,LWP,LWP,LWP,LWP,WO,WO,LWP,LWP,LWP,LWP,LWP,WO,,11,0,11,0,0,0,0,0,10,9,0,0
Atq -452,Ayanna Atkins,WFH,WO,WO,P,P,P,ML,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,21,20,1,0,0,0,0,0,0,9,0,1
Atq -367,Briley Orr,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,WFH,P,WO,WO,P,P,P,P,P,WO,,21,20,1,0,0,0,0,0,0,9,0,0
Atq -393,Emma Freeman,P,WO,WO,WFH,WFH,P,P,P,WO,WO,P,LWP,P,P,P,WO,WO,P,P,P,P,P,WO,WO,WFH,P,P,P,P,WO,,20,17,3,0,0,0,0,0,1,9,0,0
Atq -403,Will Mahoney,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,PL,PL,PL,WO,WO,P,P,P,P,P,WO,,18,18,0,3,0,0,0,0,0,9,0,0
Atq -414,Titus Andersen,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,21,21,0,0,0,0,0,0,0,9,0,0
Atq -418,Marquis Wyatt,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,21,21,0,0,0,0,0,0,0,9,0,0
Atq -408,Nick Orozco,LWP,WO,WO,P,P,P,P,P,WO,WO,P,P,P,WFH,P,WO,WO,P,P,P,WFH,WFH,WO,WO,P,LWP,P,P,P,WO,,19,16,3,0,0,0,0,0,2,9,0,0
Atq -382,Gustavo Ritter,WFH,WO,WO,WFH,WFH,WFH,WFH,WFH,WO,WO,WFH,WFH,WFH,WFH,WFH,WO,WO,WFH,WFH,WFH,WFH,WFH,WO,WO,WFH,WFH,WFH,WFH,WFH,WO,,21,0,21,0,0,0,0,0,0,9,0,0
Atq -373,Isiah Small,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,21,21,0,0,0,0,0,0,0,9,0,0
Atq -418,Hillary Kirk,P,WO,WO,P,P,P,LWP,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,20,20,0,0,0,0,0,0,1,9,0,0
Atq -376,Dominique Benjamin,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,21,21,0,0,0,0,0,0,0,9,0,0
Atq -453,Nehemiah Diaz,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,21,21,0,0,0,0,0,0,0,9,0,0
Atq -461,Josh Sharp,,WO,WO,,,,,,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,15,15,0,0,0,0,0,0,0,9,0,0
Atq -443,Andrew Cummings,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,WFH,WFH,WFH,WFH,WFH,WO,WO,P,WFH,WFH,LWP,WFH,WO,,20,12,8,0,0,0,0,0,1,9,0,0
Atq -430,Maximus Mckenzie,WFH,WO,WO,WFH,WFH,WFH,WFH,WFH,WO,WO,WFH,WFH,WFH,WFH,WFH,WO,WO,WFH,WFH,WFH,WFH,WFH,WO,WO,WFH,WFH,WFH,WFH,WFH,WO,,21,0,21,0,0,0,0,0,0,9,0,0
Atq -387,Konner Henson,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,LWP,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,20,20,0,0,0,0,0,0,1,9,0,0
Atq -385,Finnegan Gilbert,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,WFH,WO,WO,P,P,P,P,WFH,WO,,21,19,2,0,0,0,0,0,0,9,0,0
Atq -455,Caylee Meadows,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,WFH,WO,WO,P,P,P,P,P,WO,WO,P,WFH,LWP,LWP,WFH,WO,,19,16,3,0,0,0,0,0,2,9,0,0
Atq -470,Jovani Pope,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,WFH,WO,WO,WFH,WFH,WFH,WFH,WFH,WO,,21,15,6,0,0,0,0,0,0,9,0,0
Atq -374,Kaley Fitzpatrick,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,WFH,WO,WO,WFH,WFH,WFH,WFH,WFH,WO,,21,15,6,0,0,0,0,0,0,9,0,0
Atq -369,Greta Horton,P,WO,WO,P,P,P,P,WFH,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,21,20,1,0,0,0,0,0,0,9,0,0
Atq -372,Miley Combs,LWP,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,20,20,0,0,0,0,0,0,1,9,0,0
Atq -437,Dallas Weeks,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,21,21,0,0,0,0,0,0,0,9,0,0
Atq -400,Chad Macias,P,WO,WO,P,P,LWP,P,P,WO,WO,P,P,P,P,P,WO,WO,P,WFH,P,P,WFH,WO,WO,WFH,P,P,P,WFH,WO,,20,16,4,0,0,0,0,0,1,9,0,0
Atq -458,Jessie Carrillo,P,WO,WO,P,P,P,LWP,P,WO,WO,P,P,P,P,WFH,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,20,19,1,0,0,0,0,0,1,9,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
