AtliQ,,1 - Jun,2 - Jun,3 - Jun,4 - Jun,5 - Jun,6 - Jun,7 - Jun,8 - Jun,9 - Jun,10 - Jun,11 - Jun,12 - Jun,13 - Jun,14 - Jun,15 - Jun,16 - Jun,17 - Jun,18 - Jun,19 - Jun,20 - Jun,21 - Jun,22 - Jun,23 - Jun,24 - Jun,25 - Jun,26 - Jun,27 - Jun,28 - Jun,29 - Jun,30 - Jun,1 - Jun,Total Present Days,Present,Work from home ,Paid Leave ,Sick Leave ,Birthday Leave ,Floting festival leave ,Bereavement Leave,Leave without pay,Weekly Off,Holidays Off,Menstrual Leave
Atq -433,Jayce Fuentes,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,13,13,0,0,0,0,0,0,0,8,0,0
Atq -375,Hailee Fitzpatrick,P,P,P,WO,WO,PL,PL,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,11,11,0,2,0,0,0,0,0,8,0,0
Atq -475,Rey Novak,P,P,PL,WO,WO,P,P,P,WFH,WFH,WO,WO,SL,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,11,9,2,1,1,0,0,0,0,8,0,0
Atq -368,Macie Callahan,P,P,P,WO,WO,P,P,P,PL,PL,WO,WO,WFH,WFH,WFH,WFH,WFH,WO,WO,,,,,,WO,WO,,,,,,11,6,5,2,0,0,0,0,0,8,0,0
Atq -468,Xiomara Ruiz,P,P,P,WO,WO,SL,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,12,12,0,0,1,0,0,0,0,8,0,0
Atq -348,Weston Horton,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,13,13,0,0,0,0,0,0,0,8,0,0
Atq -405,Chris Frye,P,WFH,WFH,WO,WO,P,P,P,WFH,WFH,WO,WO,P,P,P,WFH,WFH,WO,WO,,,,WFH,WFH,WO,WO,,,,WFH,,16,7,9,0,0,0,0,0,0,8,0,0
Atq -475,London Kim,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,13,13,0,0,0,0,0,0,0,8,0,0
Atq -375,Kenley Marsh,P,WFH,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,13,12,1,0,0,0,0,0,0,8,0,0
Atq -456,Adriel Pace,P,P,P,WO,WO,WFH,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,13,12,1,0,0,0,0,0,0,8,0,0
Atq -385,Jase Ingram,P,P,P,WO,WO,P,P,PL,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,12,12,0,1,0,0,0,0,0,8,0,0
Atq -484,Adyson Moyer,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,13,13,0,0,0,0,0,0,0,8,0,0
Atq -412,Tucker Austin,P,P,P,WO,WO,P,P,P,P,WFH,WO,WO,P,P,P,P,P,WO,WO,,,,PL,PL,WO,WO,PL,,,,,13,12,1,3,0,0,0,0,0,8,0,0
Atq -472,Cristofer Bernard,P,P,BL ,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,12,12,0,0,0,1,0,0,0,8,0,0
Atq -396,Karma Reeves,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,13,13,0,0,0,0,0,0,0,8,0,0
Atq -467,Esperanza Irwin,HSL,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,12.5,12.5,0,0,0.5,0,0,0,0,8,0,0
Atq -484,Demarcus Gordon,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,13,13,0,0,0,0,0,0,0,8,0,0
Atq -432,Ryann Guerrero,SL,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,HSL,P,P,WO,WO,,,,,,WO,WO,,,,,,11.5,11.5,0,0,1.5,0,0,0,0,8,0,0
Atq -421,Rylee Mullins,P,P,P,WO,WO,P,P,P,P,WFH,WO,WO,P,HSL,P,P,P,WO,WO,,,,,,WO,WO,,,,,,12.5,11.5,1,0,0.5,0,0,0,0,8,0,0
Atq -452,Ayanna Atkins,HSL,HSL,HLWP,WO,WO,HLWP,HLWP,HLWP,HLWP,HLWP,WO,WO,HLWP,HLWP,HLWP,HLWP,HLWP,WO,WO,,,,,,WO,WO,,,,,,6.5,6.5,0,0,1,0,0,0,5.5,8,0,0
Atq -367,Briley Orr,P,P,P,WO,WO,PL,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,12,12,0,1,0,0,0,0,0,8,0,0
Atq -393,Emma Freeman,P,P,P,WO,WO,P,P,P,PL,PL,WO,WO,SL,P,P,HSL,SL,WO,WO,,,,,,WO,WO,,,,,,8.5,8.5,0,2,2.5,0,0,0,0,8,0,0
Atq -403,Will Mahoney,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,13,13,0,0,0,0,0,0,0,8,0,0
Atq -414,Titus Andersen,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,13,13,0,0,0,0,0,0,0,8,0,0
Atq -418,Marquis Wyatt,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,13,13,0,0,0,0,0,0,0,8,0,0
Atq -408,Nick Orozco,HWFH,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,LWP,LWP,WFH,WO,WO,,,,,,WO,WO,,,,,,11,9.5,1.5,0,0,0,0,0,2,8,0,0
Atq -382,Gustavo Ritter,WFH,WFH,WFH,WO,WO,WFH,WFH,WFH,WFH,WFH,WO,WO,WFH,WFH,WFH,WFH,WFH,WO,WO,WFH,WFH,WFH,WFH,WFH,,,,,,,,18,0,18,0,0,0,0,0,0,6,0,0
Atq -373,Isiah Small,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,13,13,0,0,0,0,0,0,0,8,0,0
Atq -418,Hillary Kirk,WFH,WFH,P,WO,WO,WFH,WFH,P,P,P,WO,WO,WFH,P,P,P,WFH,WO,WO,,,,,,WO,WO,,,,,,13,7,6,0,0,0,0,0,0,8,0,0
Atq -376,Dominique Benjamin,P,HLWP,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,12.5,12.5,0,0,0,0,0,0,0.5,8,0,0
Atq -453,Nehemiah Diaz,P,P,P,WO,WO,WFH,P,WFH,WFH,WFH,WO,WO,P,P,PL,P,P,WO,WO,,,,,,WO,WO,,,,,,12,8,4,1,0,0,0,0,0,8,0,0
Atq -461,Josh Sharp,ML,WFH,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,13,12,1,0,0,0,0,0,0,8,0,1
Atq -411,Samuel Murray,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,13,13,0,0,0,0,0,0,0,8,0,0
Atq -472,Quincy Mendez,P,HWFH,ML,WO,WO,P,P,P,P,LWP,WO,WO,P,P,P,P,HWFH,WO,WO,,,,,,WO,WO,,,,,,12,11,1,0,0,0,0,0,1,8,0,1
Atq -448,Athena Rios,P,P,P,WO,WO,P,P,P,LWP,LWP,WO,WO,WFH,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,11,10,1,0,0,0,0,0,2,8,0,0
Atq -364,Keaton Nixon,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,13,13,0,0,0,0,0,0,0,8,0,0
Atq -371,Kayleigh Kennedy,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,LWP,P,WO,WO,,,,,,WO,WO,,,,,,12,12,0,0,0,0,0,0,1,8,0,0
Atq -361,Makai Hardy,,,,WO,WO,,,,,,WO,WO,WFH,WFH,WFH,WFH,WFH,WO,WO,WFH,WFH,WFH,WFH,WFH,WO,WO,,,,,,10,0,10,0,0,0,0,0,0,8,0,0
Atq -459,Leslie Navarro,,,,WO,WO,,,,,,WO,WO,,,,WFH,WFH,WO,WO,WFH,WFH,WFH,WFH,WFH,WO,WO,WFH,WFH,WFH,WFH,,11,0,11,0,0,0,0,0,0,8,0,0
Atq -401,Piper Carroll,P,P,P,WO,WO,,,,,,WO,WO,,,,,,WO,WO,,,,,,WO,WO,,,,,,3,3,0,0,0,0,0,0,0,8,0,0
Atq -350,Alexander Davenport,WFH,WFH,WFH,WO,WO,WFH,WFH,WFH,WFH,WFH,WO,WO,WFH,WFH,WFH,WFH,WFH,WO,WO,WFH,WFH,WFH,WFH,WFH,WO,WO,WFH,WFH,WFH,WFH,,22,0,22,0,0,0,0,0,0,8,0,0
Atq -470,Jovani Pope,LWP,P,P,WO,WO,,,,,,WO,WO,,,,,,WO,WO,,,,,,WO,WO,,,,,,2,2,0,0,0,0,0,0,1,8,0,0
Atq -374,Kaley Fitzpatrick,P,P,P,WO,WO,P,P,HLWP,P,HLWP,WO,WO,WFH,WFH,WFH,WFH,WFH,WO,WO,WFH,WFH,WFH,WFH,WFH,WO,WO,LWP,LWP,LWP,LWP,,17,7,10,0,0,0,0,0,5,8,0,0
Atq -372,Miley Combs,P,P,P,WO,WO,P,P,P,P,P,WO,WO,LWP,LWP,LWP,LWP,LWP,WO,WO,LWP,LWP,LWP,LWP,LWP,WO,WO,LWP,LWP,,,,8,8,0,0,0,0,0,0,12,8,0,0
Atq -437,Dallas Weeks,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,13,13,0,0,0,0,0,0,0,8,0,0
Atq -458,Jessie Carrillo,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,13,13,0,0,0,0,0,0,0,8,0,0
Atq -455,Aditya Walls,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,13,13,0,0,0,0,0,0,0,8,0,0
Atq -476,Kane Malone,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,WFH,P,P,WO,WO,,,,,,WO,WO,,,,,,13,12,1,0,0,0,0,0,0,8,0,0
Atq -362,Kiana Mcmillan,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,HLWP,P,P,P,WO,WO,,,,,,WO,WO,,,,,,12.5,12.5,0,0,0,0,0,0,0.5,8,0,0
Atq -452,Jaime Ritter,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,13,13,0,0,0,0,0,0,0,8,0,0
Atq -334,Charity Singleton,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,13,13,0,0,0,0,0,0,0,8,0,0
Atq -414,Mckayla Miles,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,13,13,0,0,0,0,0,0,0,8,0,0
Atq -389,Julien Hamilton,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,13,13,0,0,0,0,0,0,0,8,0,0
Atq -385,Alyson Huber,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,13,13,0,0,0,0,0,0,0,8,0,0
Atq -348,Zaiden Wheeler,,,,WO,WO,,,,,,WO,WO,WFH,WFH,WFH,WFH,LWP,WO,WO,WFH,WFH,WFH,WFH,WFH,WO,WO,WFH,WFH,WFH,WFH,,13,0,13,0,0,0,0,0,1,8,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
